# git commit: fa82d50 (2026-02-15)
fuel,zone,floor_area_sf,stories,wall_height_ft,window_door_pct,above_grade_basement_wall_height_ft,below_grade_basement_wall_height_ft,r_attic,r_walls,r_windows_doors,r_basement_wall,slab_f_factor,furnace_electrical_usage_kwh_per_mmbtu,ach50,hdd,mortgage_rate,mortgage_term_years,discount_rate,analysis_period_years,indoor_design_temp_f,sizing_scale_up_factor,internal_heat_gains_btu,epa_hdd_adjustment,propane_tank_cost,furnace_afue,ccashp_hspf2,furnace_maintenance_cost,ac_maintenance_cost,gwh_maintenance_cost,ccashp_maintenance_cost,hpwh_maintenance_cost,natural_gas_btu_per_mcf,propane_btu_per_gallon,hpwh_daily_kwh,gwh_fuel_usage_rate,gwh_daily_operating_hours,electricity_price,fuel_price,wall_length_ft,wall_surface_area_sf,attic_floor_area_sf,wall_area_excl_windows_sf,window_door_area_sf,above_grade_basement_wall_area_sf,below_grade_basement_wall_area_sf,basement_floor_perimeter_ft,volume_cf,heat_loss_attic,heat_loss_walls,heat_loss_windows_doors,heat_loss_above_grade_basement,heat_loss_air_changes,heat_loss_below_grade_basement,heat_loss_slab,total_heat_loss_rate,adjusted_hdd,yearly_btu,coldest_day_temp_f,degree_diff_coldest_day,btu_hr_coldest_day,system_capacity_btu_hr,furnace_equipment_cost,gas_tank_cost,furnace_installed_cost,furnace_yearly_fuel_usage,furnace_yearly_fuel_cost,furnace_yearly_electrical_kwh,furnace_yearly_electrical_cost,furnace_yearly_operating_cost,ac_equipment_cost,ac_yearly_operating_cost,gwh_equipment_cost,gwh_yearly_fuel_usage,gwh_yearly_fuel_cost,gwh_yearly_operating_cost,service_line_cost,baseline_equipment_total,baseline_equipment_with_service_line,baseline_yearly_operating,ccashp_equipment_cost,ccashp_rebate,ccashp_federal_tax_credit,ccashp_net_cost,ccashp_yearly_kwh,ccashp_yearly_electrical_cost,ccashp_yearly_operating_cost,hpwh_rebate,hpwh_device_cost,hpwh_net_cost,hpwh_yearly_kwh,hpwh_yearly_electrical_cost,hpwh_yearly_operating_cost,hp_equipment_total,hp_yearly_operating_total,construction_savings,construction_savings_with_service_line,mortgage_savings,mortgage_savings_with_service_line,operating_savings,total_yearly_savings,total_yearly_savings_with_service_line,present_value_15yr
natural_gas,4,2363,2,10,0.2,2,8,49,30,3.703703704,15,0.55,6,3.0,4500,0.0638,30,0.04,15,70,1.25,-2164,358,1400,0.95,10,250,229,229,229,229,1037000,91500,4,0.02,2,0.21656969696969697,15.292187499999995,34.37295448459442,2749.836358767554,1181.5,2199.869087014043,549.9672717535108,274.9836358767554,1099.9345435070215,137.4918179383777,35445.0,24.112244897959183,73.32896956713476,148.49116336156862,18.33224239178369,95.70150000000001,73.32896956713476,75.62049986610774,508.9155896516887,4142,50590280.936095074,13.786579683047421,56.21342031695258,26443.88594694014,33054.85743367518,1713.714286,0.0,1713.714286,51.352871071506954,785.29773308881,303.5416856165704,65.73793087165168,1101.0356639604615,2309.885,229,822.1,14.6,223.26593749999992,452.26593749999995,11883.335974181087,4845.699286,16729.03526018109,1782.3016014604614,2749.666667,0.0,0.0,2749.666667,5059.028093609508,1095.6321811941948,1324.6321811941948,1132.0596458520931,1733.398,601.3383541479068,1460,316.19175757575755,545.1917575757575,3351.0050211479065,1869.8239387699523,1494.6942648520935,13378.030239033182,113.0393732816068,1011.7414574493857,-87.52233730949092,25.517035972115877,924.2191201398948,10275.82624993289
propane,4,2363,2,10,0.2,2,8,49,30,3.703703704,15,0.55,6,3.0,4500,0.0638,30,0.04,15,70,1.25,-2164,358,1400,0.95,10,250,229,229,229,229,1037000,91500,4,0.58,2,0.21656969696969697,3.234878787878788,34.37295448459442,2749.836358767554,1181.5,2199.869087014043,549.9672717535108,274.9836358767554,1099.9345435070215,137.4918179383777,35445.0,24.112244897959183,73.32896956713476,148.49116336156862,18.33224239178369,95.70150000000001,73.32896956713476,75.62049986610774,508.9155896516887,4142,50590280.936095074,13.786579683047421,56.21342031695258,26443.88594694014,33054.85743367518,1713.714286,1400.0,3113.714286,581.9992054770788,1882.6968843601105,303.5416856165704,65.73793087165168,2198.4348152317625,2309.885,229,822.1,423.4,1369.647678787879,1598.647678787879,0.0,6245.699286000001,6245.699286000001,4026.0824940196417,2749.666667,0.0,0.0,2749.666667,5059.028093609508,1095.6321811941948,1324.6321811941948,1132.0596458520931,1733.398,601.3383541479068,1460,316.19175757575755,545.1917575757575,3351.0050211479065,1869.8239387699523,2894.6942648520944,2894.6942648520944,218.91729515207686,218.91729515207686,2156.2585552496894,2375.175850401766,2375.175850401766,26408.12532429624
natural_gas,5,2363,2,10,0.2,2,8,49,30,3.703703704,15,0.55,6,3.0,6300,0.0638,30,0.04,15,70,1.25,-2164,358,1400,0.95,10,250,229,229,229,229,1037000,91500,4,0.02,2,0.21656969696969697,15.292187499999995,34.37295448459442,2749.836358767554,1181.5,2199.869087014043,549.9672717535108,274.9836358767554,1099.9345435070215,137.4918179383777,35445.0,24.112244897959183,73.32896956713476,148.49116336156862,18.33224239178369,95.70150000000001,73.32896956713476,75.62049986610774,508.9155896516887,5942,72575434.40904802,4.487698412607317,65.51230158739268,31176.23159178721,38970.289489734016,1713.714286,0.0,1713.714286,73.66942537587984,1126.5666658652121,435.4526064542881,94.30583902446989,1470.872504889682,2309.885,229,822.1,14.6,223.26593749999992,452.26593749999995,4261.779563510775,4845.699286,9107.478849510775,2152.138442389682,4004.333333,0.0,0.0,4004.333333,7257.543440904802,1571.7639837411648,1800.7639837411648,959.1666666665839,1733.398,774.231333333416,1460,316.19175757575755,545.1917575757575,4778.564666333416,2345.9557413169223,67.1346196665836,4328.914183177359,5.077195725615866,327.383169764587,-193.81729892724024,-188.74010320162438,133.56587083734678,1485.037099684548
propane,5,2363,2,10,0.2,2,8,49,30,3.703703704,15,0.55,6,3.0,6300,0.0638,30,0.04,15,70,1.25,-2164,358,1400,0.95,10,250,229,229,229,229,1037000,91500,4,0.58,2,0.21656969696969697,3.234878787878788,34.37295448459442,2749.836358767554,1181.5,2199.869087014043,549.9672717535108,274.9836358767554,1099.9345435070215,137.4918179383777,35445.0,24.112244897959183,73.32896956713476,148.49116336156862,18.33224239178369,95.70150000000001,73.32896956713476,75.62049986610774,508.9155896516887,5942,72575434.40904802,4.487698412607317,65.51230158739268,31176.23159178721,38970.289489734016,1713.714286,1400.0,3113.714286,834.9201542599716,2700.865496588068,435.4526064542881,94.30583902446989,3045.171335612538,2309.885,229,822.1,423.4,1369.647678787879,1598.647678787879,0.0,6245.699286000001,6245.699286000001,4872.819014400417,4004.333333,0.0,0.0,4004.333333,7257.543440904802,1571.7639837411648,1800.7639837411648,959.1666666665839,1733.398,774.231333333416,1460,316.19175757575755,545.1917575757575,4778.564666333416,2345.9557413169223,1467.1346196665845,1467.1346196665845,110.95511759608593,110.95511759608593,2526.8632730834943,2637.8183906795803,2637.8183906795803,29328.2868432738
natural_gas,6,2363,2,10,0.2,2,8,49,30,3.703703704,15,0.55,6,2.5,8100,0.0638,30,0.04,15,70,1.25,-2164,358,1400,0.95,10,250,229,229,229,229,1037000,91500,4,0.02,2,0.21656969696969697,15.292187499999995,34.37295448459442,2749.836358767554,1181.5,2199.869087014043,549.9672717535108,274.9836358767554,1099.9345435070215,137.4918179383777,35445.0,24.112244897959183,73.32896956713476,148.49116336156862,18.33224239178369,79.75125,73.32896956713476,75.62049986610774,492.96533965168874,7742,91596903.83000098,-1.6752021562403958,71.6752021562404,33169.3903755545,41461.73796944313,1713.714286,0.0,1713.714286,92.97762150941581,1421.8312214260193,549.5814229800059,119.02268223495473,1790.853903660974,2309.885,229,822.1,14.6,223.26593749999992,452.26593749999995,6401.664100117135,4845.699286,11247.363386117135,2472.119841160974,4004.333333,0.0,0.0,4004.333333,9159.6903830001,1983.711370582579,2212.711370582579,958.6253369274797,1733.398,774.7726630725202,1460,316.19175757575755,545.1917575757575,4779.105996072521,2757.9031281583366,66.59328992747942,6468.257390044614,5.036256534313679,489.1754647008812,-285.78328699736267,-280.747030463049,203.39217770351854,2261.393032380107
propane,6,2363,2,10,0.2,2,8,49,30,3.703703704,15,0.55,6,2.5,8100,0.0638,30,0.04,15,70,1.25,-2164,358,1400,0.95,10,250,229,229,229,229,1037000,91500,4,0.58,2,0.21656969696969697,3.234878787878788,34.37295448459442,2749.836358767554,1181.5,2199.869087014043,549.9672717535108,274.9836358767554,1099.9345435070215,137.4918179383777,35445.0,24.112244897959183,73.32896956713476,148.49116336156862,18.33224239178369,79.75125,73.32896956713476,75.62049986610774,492.96533965168874,7742,91596903.83000098,-1.6752021562403958,71.6752021562404,33169.3903755545,41461.73796944313,1713.714286,1400.0,3113.714286,1053.7463771067125,3408.741803106627,549.5814229800059,119.02268223495473,3777.7644853415813,2309.885,229,822.1,423.4,1369.647678787879,1598.647678787879,0.0,6245.699286000001,6245.699286000001,5605.4121641294605,4004.333333,0.0,0.0,4004.333333,9159.6903830001,1983.711370582579,2212.711370582579,958.6253369274797,1733.398,774.7726630725202,1460,316.19175757575755,545.1917575757575,4779.105996072521,2757.9031281583366,1466.5932899274803,1466.5932899274803,110.91417840478374,110.91417840478374,2847.509035971124,2958.4232143759077,2958.4232143759077,32892.89548575153
